timestamp,channel,register,value
2025-09-04 18:07:18,R0,0,1000.0
2025-09-04 18:07:18,R1,1,0.0
2025-09-04 18:07:18,R2,2,5.0
2025-09-04 18:07:18,R3,3,5.0
2025-09-04 18:07:18,R4,4,250.0
2025-09-04 18:07:18,R5,5,0.0
2025-09-04 18:07:18,R6,6,250.0
2025-09-04 18:07:18,R7,7,5.0
2025-09-04 18:07:18,R8,8,5.0
2025-09-04 18:07:18,R9,9,0.0
2025-09-04 18:07:19,R0,0,1000.0
2025-09-04 18:07:19,R1,1,0.0
2025-09-04 18:07:19,R2,2,5.0
2025-09-04 18:07:19,R3,3,5.0
2025-09-04 18:07:19,R4,4,250.0
2025-09-04 18:07:19,R5,5,0.0
2025-09-04 18:07:19,R6,6,250.0
2025-09-04 18:07:19,R7,7,5.0
2025-09-04 18:07:19,R8,8,5.0
2025-09-04 18:07:19,R9,9,0.0
2025-09-04 18:07:20,R0,0,1000.0
2025-09-04 18:07:20,R1,1,0.0
2025-09-04 18:07:20,R2,2,5.0
2025-09-04 18:07:20,R3,3,5.0
2025-09-04 18:07:20,R4,4,250.0
2025-09-04 18:07:20,R5,5,0.0
2025-09-04 18:07:20,R6,6,250.0
2025-09-04 18:07:20,R7,7,5.0
2025-09-04 18:07:20,R8,8,5.0
2025-09-04 18:07:20,R9,9,0.0
2025-09-04 18:07:21,R0,0,1000.0
2025-09-04 18:07:21,R1,1,0.0
2025-09-04 18:07:21,R2,2,5.0
2025-09-04 18:07:21,R3,3,5.0
2025-09-04 18:07:21,R4,4,250.0
2025-09-04 18:07:21,R5,5,0.0
2025-09-04 18:07:21,R6,6,250.0
2025-09-04 18:07:21,R7,7,5.0
2025-09-04 18:07:21,R8,8,5.0
2025-09-04 18:07:21,R9,9,0.0
2025-09-04 18:07:22,R0,0,1000.0
2025-09-04 18:07:22,R1,1,0.0
2025-09-04 18:07:22,R2,2,5.0
2025-09-04 18:07:22,R3,3,5.0
2025-09-04 18:07:22,R4,4,250.0
2025-09-04 18:07:22,R5,5,0.0
2025-09-04 18:07:22,R6,6,250.0
2025-09-04 18:07:22,R7,7,5.0
2025-09-04 18:07:22,R8,8,5.0
2025-09-04 18:07:22,R9,9,0.0
2025-09-04 18:07:23,R0,0,1000.0
2025-09-04 18:07:23,R1,1,0.0
2025-09-04 18:07:23,R2,2,5.0
2025-09-04 18:07:23,R3,3,5.0
2025-09-04 18:07:23,R4,4,250.0
2025-09-04 18:07:23,R5,5,0.0
2025-09-04 18:07:23,R6,6,250.0
2025-09-04 18:07:23,R7,7,5.0
2025-09-04 18:07:23,R8,8,5.0
2025-09-04 18:07:23,R9,9,0.0
2025-09-04 18:07:24,R0,0,1000.0
2025-09-04 18:07:24,R1,1,0.0
2025-09-04 18:07:24,R2,2,5.0
2025-09-04 18:07:24,R3,3,5.0
2025-09-04 18:07:24,R4,4,250.0
2025-09-04 18:07:24,R5,5,0.0
2025-09-04 18:07:24,R6,6,250.0
2025-09-04 18:07:24,R7,7,5.0
2025-09-04 18:07:24,R8,8,5.0
2025-09-04 18:07:24,R9,9,0.0
2025-09-04 18:07:25,R0,0,1000.0
2025-09-04 18:07:25,R1,1,0.0
2025-09-04 18:07:25,R2,2,5.0
2025-09-04 18:07:25,R3,3,5.0
2025-09-04 18:07:25,R4,4,250.0
2025-09-04 18:07:25,R5,5,0.0
2025-09-04 18:07:25,R6,6,250.0
2025-09-04 18:07:25,R7,7,5.0
2025-09-04 18:07:25,R8,8,5.0
2025-09-04 18:07:25,R9,9,0.0
2025-09-04 18:07:26,R0,0,1000.0
2025-09-04 18:07:26,R1,1,0.0
2025-09-04 18:07:26,R2,2,5.0
2025-09-04 18:07:26,R3,3,5.0
2025-09-04 18:07:26,R4,4,250.0
2025-09-04 18:07:26,R5,5,0.0
2025-09-04 18:07:26,R6,6,250.0
2025-09-04 18:07:26,R7,7,5.0
2025-09-04 18:07:26,R8,8,5.0
2025-09-04 18:07:26,R9,9,0.0
2025-09-04 18:07:27,R0,0,1000.0
2025-09-04 18:07:27,R1,1,0.0
2025-09-04 18:07:27,R2,2,5.0
2025-09-04 18:07:27,R3,3,5.0
2025-09-04 18:07:27,R4,4,250.0
2025-09-04 18:07:27,R5,5,0.0
2025-09-04 18:07:27,R6,6,250.0
2025-09-04 18:07:27,R7,7,5.0
2025-09-04 18:07:27,R8,8,5.0
2025-09-04 18:07:27,R9,9,0.0
2025-09-04 18:07:28,R0,0,1000.0
2025-09-04 18:07:28,R1,1,0.0
2025-09-04 18:07:28,R2,2,5.0
2025-09-04 18:07:28,R3,3,5.0
2025-09-04 18:07:28,R4,4,250.0
2025-09-04 18:07:28,R5,5,0.0
2025-09-04 18:07:28,R6,6,250.0
2025-09-04 18:07:28,R7,7,5.0
2025-09-04 18:07:28,R8,8,5.0
2025-09-04 18:07:28,R9,9,0.0
2025-09-04 18:07:29,R0,0,1000.0
2025-09-04 18:07:29,R1,1,0.0
2025-09-04 18:07:29,R2,2,5.0
2025-09-04 18:07:29,R3,3,5.0
2025-09-04 18:07:29,R4,4,250.0
2025-09-04 18:07:29,R5,5,0.0
2025-09-04 18:07:29,R6,6,250.0
2025-09-04 18:07:29,R7,7,5.0
2025-09-04 18:07:29,R8,8,5.0
2025-09-04 18:07:29,R9,9,0.0
2025-09-04 18:07:30,R0,0,1000.0
2025-09-04 18:07:30,R1,1,0.0
2025-09-04 18:07:30,R2,2,5.0
2025-09-04 18:07:30,R3,3,5.0
2025-09-04 18:07:30,R4,4,250.0
2025-09-04 18:07:30,R5,5,0.0
2025-09-04 18:07:30,R6,6,250.0
2025-09-04 18:07:30,R7,7,5.0
2025-09-04 18:07:30,R8,8,5.0
2025-09-04 18:07:30,R9,9,0.0
2025-09-04 18:07:31,R0,0,1000.0
2025-09-04 18:07:31,R1,1,0.0
2025-09-04 18:07:31,R2,2,5.0
2025-09-04 18:07:31,R3,3,5.0
2025-09-04 18:07:31,R4,4,250.0
